ticker,n_pit,n_iex,P,D,K,V,spread_P,spread_D,seam_step_served,flag
RGR,10,10,0.999923,0.84062,0.840684,1.0,0.001,0.0122,0.826698,iex_side_unstable
RHI,10,10,0.999701,0.855955,0.856211,1.0,0.0037,0.0006,0.80871,
RHS,10,10,,,,,,,,no_overlap_with_yahoo
RIG,10,10,1.001326,0.998912,0.997589,1.0,0.0033,0.0021,1.166274,
RIO,10,10,1.0,0.771998,0.771998,1.0,0.0003,0.0645,0.704828,iex_side_unstable
RIVN,10,10,0.999925,0.99975,0.999825,1.0,0.0011,0.0018,0.896286,no_rebase_needed
RJF,10,10,1.0,0.943455,0.943455,1.0,0.0002,0.0009,0.895419,
RKH,10,0,,,,,,,,no_seam_window
RKT,10,10,1.0,0.89707,0.89707,1.0,0.0008,0.0019,0.776045,
RL,10,10,0.999961,0.91742,0.917456,1.0,0.0008,0.0013,0.805187,
RLX,10,10,1.0,0.946738,0.946738,1.0,0.004,0.0071,0.860333,
RMBS,10,10,1.0,1.0,1.0,1.0,0.0011,0.0017,0.96796,no_rebase_needed
RMD,10,10,0.99982,0.963659,0.963832,1.0,0.0009,0.0013,0.936885,
RNG,10,10,0.99996,0.998322,0.998362,1.0,0.0028,0.0018,0.987198,no_rebase_needed
ROK,10,10,0.999981,0.93276,0.932778,1.0,0.0012,0.0006,0.917398,
ROKU,10,10,1.0,1.000113,1.000113,1.0,0.0013,0.001,0.925685,no_rebase_needed
ROL,10,10,1.0,0.950202,0.950202,1.0,0.0003,0.0004,0.949061,
ROM,10,10,1.000432,0.993127,0.992698,1.0,0.0015,0.0415,0.921664,iex_side_unstable
ROP,10,10,1.000023,0.976049,0.976027,1.0,0.0005,0.0011,0.955201,
ROST,10,10,1.0,0.954382,0.954382,1.0,0.0004,0.0036,0.906671,
RPG,10,10,5.001287,0.971557,0.194261,5.0,0.0006,0.0093,0.187148,
RPV,10,10,0.99988,0.901094,0.901202,1.0,0.0007,0.0017,0.88223,
RRC,10,10,1.0,0.962659,0.962659,1.0,0.0009,0.0012,0.971748,
RSG,10,10,1.000084,0.950989,0.95091,1.0,0.0003,0.0006,0.936586,
RSP,10,10,1.0,0.929965,0.929965,1.0,0.0005,0.0013,0.905192,
RSU,10,0,,,,,,,,no_seam_window
RSW,10,0,,,,,,,,no_seam_window
RSX,10,0,,,,,,,,no_seam_window
RSXJ,10,0,,,,,,,,no_seam_window
RTH,10,10,,,,,,,,no_overlap_with_yahoo
RTL,10,10,,,,,,,,no_yahoo_history
RTM,10,10,5.000083,4.886033,0.97719,5.0,0.0027,0.0177,0.969581,iex_side_unstable
RTX,10,10,0.999798,0.915083,0.915268,1.0,0.0053,0.0003,0.902177,
RUSL,10,0,,,,,,,,no_seam_window
RUSS,10,0,,,,,,,,no_seam_window
RWM,10,10,1.0,0.865599,0.865599,1.0,0.0013,0.0019,0.884914,
RWO,10,10,1.0,0.85914,0.85914,1.0,0.0002,0.0081,0.846379,
RWR,10,10,0.99946,0.854273,0.854735,1.0,0.0013,0.0046,0.840823,
RWX,10,10,1.0,0.847369,0.847369,1.0,0.0033,0.0038,0.829063,
RXD,10,10,0.499633,0.446275,0.893206,0.5,0.0212,0.0164,0.907502,pit_side_unstable;iex_side_unstable
RXI,10,10,1.0,0.95385,0.95385,1.0,0.0033,0.0095,0.910812,
RXL,10,10,1.9982,0.967017,0.483944,2.0,0.0044,0.0334,0.458491,iex_side_unstable
RYE,10,10,1.000408,0.955214,0.954824,1.0,0.0008,0.0046,0.960366,
